"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Autenticação no Swag Labs","4","0","","0"
"0","","0","","9","0","","0"
"0","","0","Checkout de Produtos","2","0","","0"
"0","","0","Favoritos no Swag Labs","1","0","","0"
"0","Interface do Usuário (UI)","0","Vitrine de Produtos","1","0","Aparência da Listagem de Itens","0"
"0","Interface do Usuário (UI)","0","Autenticação","1","0","Aparência da Página de Login","0"
